kode;nama_tindakan;kelas;biaya_dokter;biaya_rs
235;FEE I_TABLE 7B_NEUROSURGERY;ED;42000000;14700000
236;FEE I_TABLE 7B_OBSTETRICS AND GYNECOLOGY;ED;21000000;7350000
237;FEE I_TABLE 7B_OPHTHALMOLOGY;ED;23170000;8110000
238;FEE I_TABLE 7B_ORTHOPEDIC SURGERY;ED;35860000;12550000
239;FEE I_TABLE 7B_PEDIATRIC SURGERY;ED;24240000;8480000
240;FEE I_TABLE 7B_PLASTIC SURGERY;ED;26440000;9250000
241;FEE I_TABLE 7B_UROLOGICAL SURGERY;ED;22340000;7820000
242;FEE I_TABLE 7C_CARDIAC SURGERY;ED;32060000;11220000
243;FEE I_TABLE 7C_DENTISTRY;ED;27380000;9580000
244;FEE I_TABLE 7C_ENT / OTORHINOLARYNGOLOGY;ED;24040000;8410000
245;FEE I_TABLE 7C_GENERAL SURGERY;ED;20790000;7280000
246;FEE I_TABLE 7C_NEUROSURGERY;ED;45230000;15830000
247;FEE I_TABLE 7C_OBSTETRICS AND GYNECOLOGY;ED;22260000;7790000
248;FEE I_TABLE 7C_OPHTHALMOLOGY;ED;24570000;8600000
249;FEE I_TABLE 7C_ORTHOPEDIC SURGERY;ED;43040000;15060000
250;FEE I_TABLE 7C_PEDIATRIC SURGERY;ED;26660000;9330000
251;FEE I_TABLE 7C_PLASTIC SURGERY;ED;29380000;10280000
252;FEE I_TABLE 7C_UROLOGICAL SURGERY;ED;25280000;8850000
253;FEE II_TABLE 1A_CARDIAC SURGERY;ED;2420000;850000
254;FEE II_TABLE 1A_DENTISTRY;ED;2290000;800000
255;FEE II_TABLE 1A_DIGESTIVE SURGERY;ED;1980000;690000
256;FEE II_TABLE 1A_ENT / OTORHINOLARYNGOLOGY;ED;1980000;690000
257;FEE II_TABLE 1A_NEUROSURGERY;ED;2110000;740000
258;FEE II_TABLE 1A_OBSTETRICS AND GYNECOLOGY;ED;1740000;610000
259;FEE II_TABLE 1A_ONCOLOGY SURGERY;ED;2130000;750000
260;FEE II_TABLE 1A_OPHTHALMOLOGY;ED;1820000;640000
261;FEE II_TABLE 1A_ORTHOPEDIC SURGERY;ED;1860000;650000
262;FEE II_TABLE 1A_PEDIATRIC SURGERY;ED;1890000;660000
263;FEE II_TABLE 1A_PLASTIC SURGERY;ED;2290000;800000
264;FEE II_TABLE 1A_UROLOGICAL SURGERY;ED;1830000;640000
265;FEE II_TABLE 1A_VASCULAR SURGERY;ED;2080000;730000
266;FEE II_TABLE 1B_CARDIAC SURGERY;ED;2910000;1020000
267;FEE II_TABLE 1B_DENTISTRY;ED;2740000;960000
268;FEE II_TABLE 1B_DIGESTIVE SURGERY;ED;2630000;920000
269;FEE II_TABLE 1B_ENT / OTORHINOLARYNGOLOGY;ED;2910000;1020000
270;FEE II_TABLE 1B_NEUROSURGERY;ED;3370000;1180000
271;FEE II_TABLE 1B_OBSTETRICS AND GYNECOLOGY;ED;2180000;760000
272;FEE II_TABLE 1B_ONCOLOGY SURGERY;ED;4260000;1490000
273;FEE II_TABLE 1B_OPHTHALMOLOGY;ED;3200000;1120000
274;FEE II_TABLE 1B_ORTHOPEDIC SURGERY;ED;2800000;980000
275;FEE II_TABLE 1B_PEDIATRIC SURGERY;ED;3150000;1100000
276;FEE II_TABLE 1B_PLASTIC SURGERY;ED;3060000;1070000
277;FEE II_TABLE 1B_UROLOGICAL SURGERY;ED;3060000;1070000
278;FEE II_TABLE 1B_VASCULAR SURGERY;ED;2770000;970000
279;FEE II_TABLE 1C_CARDIAC SURGERY;ED;3870000;1350000
280;FEE II_TABLE 1C_DENTISTRY;ED;3200000;1120000
